18	0	r813u03n09.mccleary.ycrc.yale.edu	2023-08-02 13:55:43	2023-08-02 15:29:20	5617.16	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D AnovaBalance --E cauchy --S 0.9
132	0	r813u09n02.mccleary.ycrc.yale.edu	2023-08-02 13:57:27	2023-08-02 15:32:35	5708.56	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Cauchy --E multinomial --S 0.0
66	0	r813u03n03.mccleary.ycrc.yale.edu	2023-08-02 13:56:28	2023-08-02 15:32:38	5770.69	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Gaussian --E cauchy --S 0.9
156	0	r813u09n03.mccleary.ycrc.yale.edu	2023-08-02 13:59:34	2023-08-02 15:32:41	5586.47	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D AnovaUnbalance --E cauchy --S 0.0
72	0	r813u09n04.mccleary.ycrc.yale.edu	2023-08-02 13:56:35	2023-08-02 15:32:46	5771.27	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Gaussian --E exponential --S 0.0
144	0	r813u09n02.mccleary.ycrc.yale.edu	2023-08-02 13:58:19	2023-08-02 15:33:01	5682.15	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D AnovaUnbalance --E gaussian --S 0.0
114	0	r813u03n08.mccleary.ycrc.yale.edu	2023-08-02 13:57:08	2023-08-02 15:33:04	5755.95	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Cauchy --E cauchy --S 0.9
78	0	r813u09n04.mccleary.ycrc.yale.edu	2023-08-02 13:56:35	2023-08-02 15:33:24	5809.61	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Gaussian --E exponential --S 0.9
84	0	r813u09n05.mccleary.ycrc.yale.edu	2023-08-02 13:56:38	2023-08-02 15:33:28	5810.60	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Gaussian --E multinomial --S 0.0
126	0	r813u03n08.mccleary.ycrc.yale.edu	2023-08-02 13:57:08	2023-08-02 15:34:15	5826.30	module load miniconda/23.3.1;conda activate /home/lg689/project/project/conda_env/PREGSenv;Rscript experiments_sim.R --n 100 --p 2 --D Cauchy --E exponential --S 0.9
